country,adult_literacy_rate,gross_national_income_per_capita_ppp_international,population_in_thousands_total,population_median_age_years,per_capita_total_expenditure_on_health_ppp_int,per_capita_government_expenditure_on_health_ppp_int,healthy_life_expectancy_hale_at_birth_years_both_sexes,life_expectancy_at_birth_years_both_sexes,population_with_sustainable_access_to_improved_sanitation_total,aid_received_total,income_per_person,population_proportion_over_60,population_proportion_under_15,contraceptive_prevalence,total_expenditure_on_health_as_percentage_of_gross_domestic_product,children_per_woman,infant_mortality_rate,patents_granted
Afghanistan,28,0,26088,16,29,8,36,42,30,2.75,874,4,47,10.3,5.4,7.07,165,0
Albania,98.7,6e3,3172,29,358,127,61,71,97,3.19,5369,13,26,75.1,6.2,2.06,16,502
Azerbaijan,98.8,5430,8406,28,218,67,57,64,80,2.25,4648,9,24,55.4,3.4,1.82,74,19
Liberia,60,260,3579,16,39,25,35,44,32,2.3299999999999996,383,4,47,0,5.6,6.7700000000000005,157,30
Libyan Arab Jamahiriya,85,11630,6039,25,270,189,64,72,97,242e5,10804,6,30,0,2.9,2.72,18,0
Lithuania,99.6,14550,3408,38,1041,728,63,71,0,2.5,14085,21,16,0,6.2,1.26,7,1918
Luxembourg,0,60870,461,38,5773,5233,72,80,100,0,70014,19,18,0,7.2,1.6600000000000001,4,12176
"Macao, China",0,0,0,0,0,0,0,0,0,1.2,37256,0,0,0,0,0.91,0,0.38
Macedonia,96.1,7850,2036,35,623,446,63,73,89,2.29,7393,16,19,13.5,8.2,1.43,15,679
Madagascar,70.7,870,19159,18,34,21,49,59,12,9.139999999999999,988,5,44,27.1,3.2,4.78,74,15
Malawi,64.1,690,13571,16,70,51,35,50,60,5.78,691,5,47,41.7,12.3,5.59,79,2
Malaysia,88.7,12160,26114,25,500,226,63,72,94,276e5,11466,7,31,0,4.3,2.6,10,786
Maldives,96.3,4740,300,22,882,742,58,72,59,7.7,4017,6,33,39,10.1,2.63,28,0
Bahamas,0,0,327,28,1516,775,64,74,100,478e4,23021,10,27,0,6.9,0,0,31
Mali,24,1e3,11968,16,65,34,38,46,45,6.99,1027,5,48,8.1,6,6.52,120,0
Malta,87.9,20990,405,38,1825,1419,71,79,0,619e4,20410,19,17,0,8.3,1.37,5,125
Marshall Islands,0,8040,58,0,607,589,55,63,81,0,0,6,32,0,15.3,0,0,0
Mauritania,51.2,1970,3044,20,45,31,45,58,24,1.96,1691,5,40,8,2.2,4.37,78,0
Mauritius,84.3,10640,1252,31,581,292,62,73,94,342e5,10155,10,24,75.9,4.3,1.86,13,3
Mexico,91.6,11990,105342,26,756,327,65,74,81,1.8900000000000001,11317,9,30,70.9,6.2,2.21,30,6616
Micronesia (Federated States of),0,6070,111,20,491,444,58,69,25,0,0,5,38,0,12,0,0,0
Moldova,99,2660,3833,33,190,107,60,68,79,1.91,2362,15,19,67.8,7.8,1.4,17,230
